site,poc,date,lat,lon,ozone
291890005,1,"2005-05-22",38.49,-90.705,52.75
291890006,1,"2005-05-22",38.614,-90.496,48.88
291890014,1,"2005-05-22",38.711,-90.476,53.5
295100085,1,"2005-05-22",38.656,-90.198,55.5
295100086,1,"2005-05-22",38.672,-90.239,52.5
310550028,1,"2005-05-22",41.208,-95.948,51.63
310550032,1,"2005-05-22",41.36,-96.025,41.13
310550035,1,"2005-05-22",41.306,-95.96,46.75
311090016,1,"2005-05-22",40.985,-96.677,38.12
330012004,1,"2005-05-22",43.565,-71.496,32.62
330050007,1,"2005-05-22",42.931,-72.278,29.75
330074001,1,"2005-05-22",44.278,-71.302,39.5
330074002,1,"2005-05-22",44.291,-71.225,32
330074003,1,"2005-05-22",45.051,-71.392,27.37
330090010,1,"2005-05-22",43.63,-72.226,29.88
330110020,1,"2005-05-22",43.001,-71.468,29.63
330111011,1,"2005-05-22",42.72,-71.523,31.88
330115001,1,"2005-05-22",42.862,-71.879,34.63
330131007,1,"2005-05-22",43.218,-71.458,32.38
330150014,1,"2005-05-22",43.075,-70.748,34.38
330150016,1,"2005-05-22",43.047,-70.714,36.13
330190003,1,"2005-05-22",43.364,-72.338,30.63
340030005,1,"2005-05-22",40.9,-74.03,24.5
340070003,1,"2005-05-22",39.923,-75.097,35
340071001,1,"2005-05-22",39.674,-74.857,38.38
340110007,1,"2005-05-22",39.422,-75.026,35.88
340150002,1,"2005-05-22",39.799,-75.218,36.25
340170006,1,"2005-05-22",40.671,-74.126,27.62
340190001,1,"2005-05-22",40.517,-74.81,31.62
340210005,1,"2005-05-22",40.283,-74.747,31.5
340230011,1,"2005-05-22",40.473,-74.426,29.38
340250005,1,"2005-05-22",40.188,-74.006,36.75
340273001,1,"2005-05-22",40.787,-74.677,29.5
340290006,1,"2005-05-22",40.065,-74.446,32.75
340315001,1,"2005-05-22",41.052,-74.258,23.63
360010012,1,"2005-05-22",42.681,-73.757,29.13
360050083,1,"2005-05-22",40.866,-73.881,27.38
360050110,1,"2005-05-22",40.816,-73.902,26.87
360130006,1,"2005-05-22",42.499,-79.319,43.63
360130011,1,"2005-05-22",42.291,-79.587,39.25
360150003,1,"2005-05-22",42.111,-76.802,32.75
360270007,1,"2005-05-22",41.782,-73.743,22.88
360290002,1,"2005-05-22",42.993,-78.771,37.63
360310002,3,"2005-05-22",44.366,-73.903,32.25
360310003,1,"2005-05-22",44.393,-73.859,34.62
360337003,1,"2005-05-22",44.981,-74.695,34.63
360410005,1,"2005-05-22",43.45,-74.516,35
360430005,1,"2005-05-22",43.686,-74.985,36.38
360450002,1,"2005-05-22",44.087,-75.973,35.38
360530006,1,"2005-05-22",42.73,-75.784,32.88
360551007,1,"2005-05-22",43.146,-77.548,34.5
360631006,1,"2005-05-22",43.224,-78.479,29.25
360650004,2,"2005-05-22",43.3,-75.719,27.75
360671015,1,"2005-05-22",43.052,-76.059,34.63
360715001,1,"2005-05-22",41.524,-74.215,26.63
360750003,1,"2005-05-22",43.284,-76.463,35.25
360790005,1,"2005-05-22",41.442,-73.708,26
360810098,1,"2005-05-22",40.784,-73.848,25.88
360810124,1,"2005-05-22",40.736,-73.823,32.63
360830004,1,"2005-05-22",42.782,-73.464,28.13
360850067,1,"2005-05-22",40.597,-74.126,33.38
360910004,1,"2005-05-22",43.012,-73.649,27.62
360930003,1,"2005-05-22",42.8,-73.94,25.25
361030002,1,"2005-05-22",40.746,-73.419,7.13
361030004,1,"2005-05-22",40.961,-72.713,31.75
361030009,2,"2005-05-22",40.827,-73.057,33.38
361111005,1,"2005-05-22",42.144,-74.494,28.5
361173001,1,"2005-05-22",43.231,-77.174,30.5
361192004,1,"2005-05-22",41.052,-73.764,29.75
370030004,1,"2005-05-22",35.929,-81.19,54.75
370110002,1,"2005-05-22",35.972,-81.934,58.88
370210030,1,"2005-05-22",35.5,-82.6,51
370270003,1,"2005-05-22",35.936,-81.53,54
370330001,1,"2005-05-22",36.307,-79.467,52.5
370370004,1,"2005-05-22",35.757,-79.16,53.25
370510008,1,"2005-05-22",35.159,-78.728,56.38
370511003,1,"2005-05-22",34.969,-78.963,56.63
370590002,1,"2005-05-22",35.809,-80.559,61.88
370650099,1,"2005-05-22",35.988,-77.583,56
370670022,1,"2005-05-22",36.111,-80.227,52.12
370670028,1,"2005-05-22",36.203,-80.216,54.38
370670030,1,"2005-05-22",36.026,-80.342,55.38
370671008,1,"2005-05-22",36.051,-80.144,57.63
370690001,1,"2005-05-22",36.096,-78.464,56.88
370750001,1,"2005-05-22",35.258,-83.796,57.29
370770001,1,"2005-05-22",36.141,-78.768,61.88
370810011,1,"2005-05-22",36.113,-79.704,56.75
370810013,1,"2005-05-22",36.109,-79.801,59.25
370870004,1,"2005-05-22",35.505,-82.965,55.25
370870035,1,"2005-05-22",35.379,-82.793,56.57
370870036,1,"2005-05-22",35.59,-83.077,56.71
371010002,1,"2005-05-22",35.591,-78.462,54.63
371070004,1,"2005-05-22",35.231,-77.569,62
371090004,1,"2005-05-22",35.439,-81.277,52
371170001,1,"2005-05-22",35.811,-76.898,60.12
371190041,1,"2005-05-22",35.24,-80.786,51.38
371191005,1,"2005-05-22",35.113,-80.92,47
371191009,1,"2005-05-22",35.349,-80.694,54.63
371290002,1,"2005-05-22",34.364,-77.839,56.5
371450003,1,"2005-05-22",36.307,-79.092,57.13
371470099,1,"2005-05-22",35.583,-77.599,58.5
371570099,1,"2005-05-22",36.309,-79.859,54.38
371590021,1,"2005-05-22",35.552,-80.395,60.75
371590022,1,"2005-05-22",35.534,-80.668,60.25
371730002,1,"2005-05-22",35.436,-83.444,56.75
371790003,1,"2005-05-22",34.974,-80.541,51.25
371830014,1,"2005-05-22",35.856,-78.574,59.38
371830016,1,"2005-05-22",35.597,-78.793,56.62
371990003,1,"2005-05-22",35.738,-82.285,55.25
380171004,1,"2005-05-22",46.934,-96.855,43.63
390030002,1,"2005-05-22",40.772,-84.052,46.57
390071001,1,"2005-05-22",41.959,-80.573,39.12
390170004,1,"2005-05-22",39.383,-84.544,58.75
390171004,3,"2005-05-22",39.53,-84.393,57.5
390230001,1,"2005-05-22",40.001,-83.804,44.88
390230003,1,"2005-05-22",39.856,-83.997,45.87
390250022,1,"2005-05-22",39.083,-84.144,55
390271002,1,"2005-05-22",39.43,-83.789,53.5
390350034,1,"2005-05-22",41.555,-81.575,30.5
390350064,1,"2005-05-22",41.362,-81.865,42.38
390355002,1,"2005-05-22",41.537,-81.459,41.75
390410002,1,"2005-05-22",40.357,-83.064,48.88
390490028,1,"2005-05-22",39.914,-82.957,40.63
390490029,1,"2005-05-22",40.087,-82.816,54.75
390490037,1,"2005-05-22",39.965,-82.958,41.38
390490081,1,"2005-05-22",40.088,-82.96,41.12
390550004,1,"2005-05-22",41.515,-81.249,50
390570006,1,"2005-05-22",39.666,-83.943,47.5
390610006,1,"2005-05-22",39.278,-84.366,56.5
390610010,1,"2005-05-22",39.215,-84.691,63
390610040,1,"2005-05-22",39.129,-84.504,58
390810017,1,"2005-05-22",40.366,-80.615,55.75
390830002,1,"2005-05-22",40.31,-82.692,54
390850003,1,"2005-05-22",41.673,-81.423,39.13
390853002,1,"2005-05-22",41.722,-81.242,31.5
390870006,1,"2005-05-22",38.52,-82.667,38.25
390870011,1,"2005-05-22",38.629,-82.457,32.25
390890005,1,"2005-05-22",40.026,-82.433,54.25
390930018,1,"2005-05-22",41.421,-82.096,42.5
390950024,1,"2005-05-22",41.644,-83.547,39.38
390950027,1,"2005-05-22",41.495,-83.719,49.25
390950034,1,"2005-05-22",41.676,-83.307,46.25
390950081,1,"2005-05-22",41.719,-83.475,45.25
390970007,1,"2005-05-22",39.789,-83.476,47.5
390990013,1,"2005-05-22",41.096,-80.659,52.63
391030003,1,"2005-05-22",41.103,-81.912,55.25
391090005,1,"2005-05-22",40.085,-84.115,49.88
391130033,1,"2005-05-22",39.781,-84.182,49.37
391331001,1,"2005-05-22",41.182,-81.33,53.88
391351001,1,"2005-05-22",39.836,-84.721,52.37
391510016,1,"2005-05-22",40.828,-81.379,50.25
391510021,1,"2005-05-22",40.709,-81.601,51.5
391514005,1,"2005-05-22",40.931,-81.124,53.38
391530020,1,"2005-05-22",41.106,-81.504,56.75
391550009,1,"2005-05-22",41.454,-80.592,44.63
391550011,1,"2005-05-22",41.24,-80.663,52.25
391650007,1,"2005-05-22",39.428,-84.202,50
391670004,1,"2005-05-22",39.432,-81.46,60
391730003,1,"2005-05-22",41.378,-83.612,50.25
400019009,1,"2005-05-22",35.75,-94.67,62
400170101,1,"2005-05-22",35.481,-97.752,50.25
400219002,1,"2005-05-22",35.855,-94.986,63.5
400270049,1,"2005-05-22",35.32,-97.488,50.38
400310647,1,"2005-05-22",34.649,-98.366,42.88
400370144,1,"2005-05-22",36.107,-96.361,55.88
400430860,1,"2005-05-22",36.16,-98.932,56.13
400670670,1,"2005-05-22",33.894,-97.857,56.38
400719010,1,"2005-05-22",36.957,-97.034,61.5
400871073,1,"2005-05-22",35.161,-97.474,45.25
400979014,1,"2005-05-22",36.228,-95.25,70.13
401090033,1,"2005-05-22",35.517,-97.506,52.88
401090096,1,"2005-05-22",35.479,-97.303,54.87
401091037,1,"2005-05-22",35.613,-97.472,57.5
401159004,1,"2005-05-22",36.922,-94.839,67.88
401210415,1,"2005-05-22",34.886,-95.784,69.5
401430137,1,"2005-05-22",36.374,-96,68.5
401430174,1,"2005-05-22",35.939,-96.003,56.75
401430178,1,"2005-05-22",36.133,-95.764,62.25
401431127,1,"2005-05-22",36.207,-95.977,67
420010002,1,"2005-05-22",39.93,-77.25,41.38
420030008,1,"2005-05-22",40.466,-79.961,40
420030010,1,"2005-05-22",40.446,-80.016,49.25
420030067,1,"2005-05-22",40.382,-80.186,56.75
420031005,1,"2005-05-22",40.617,-79.732,51
420050001,1,"2005-05-22",40.814,-79.565,48.63
420070002,1,"2005-05-22",40.563,-80.504,55.5
420070005,1,"2005-05-22",40.685,-80.36,55
420070014,1,"2005-05-22",40.748,-80.317,52
420110009,1,"2005-05-22",40.32,-75.927,34.75
420130801,1,"2005-05-22",40.535,-78.371,41.88
420170012,1,"2005-05-22",40.107,-74.882,32.88
420210011,1,"2005-05-22",40.31,-78.915,43.63
420270100,1,"2005-05-22",40.811,-77.877,40.12
420290100,1,"2005-05-22",39.834,-75.769,40.37
420334000,1,"2005-05-22",41.118,-78.526,47.75
420430401,1,"2005-05-22",40.245,-76.845,39.37
420431100,1,"2005-05-22",40.272,-76.681,36.63
420450002,1,"2005-05-22",39.836,-75.372,37.5
420490003,1,"2005-05-22",42.142,-80.039,39.63
420550001,1,"2005-05-22",39.961,-77.476,41.63
420590002,1,"2005-05-22",39.816,-80.285,56
420630004,1,"2005-05-22",40.563,-78.92,48
420690101,1,"2005-05-22",41.479,-75.578,28.25
420692006,1,"2005-05-22",41.443,-75.623,29.25
420710007,1,"2005-05-22",40.047,-76.283,40.88
420730015,1,"2005-05-22",40.996,-80.347,48.13
420770004,1,"2005-05-22",40.612,-75.433,35.38
420791100,1,"2005-05-22",41.209,-76.003,29.38
420791101,1,"2005-05-22",41.266,-75.846,33.88
420810100,1,"2005-05-22",41.251,-76.924,35.38
420850100,1,"2005-05-22",41.215,-80.485,50.25
420910013,1,"2005-05-22",40.112,-75.309,35.25
420950025,1,"2005-05-22",40.628,-75.341,35.13
420958000,1,"2005-05-22",40.692,-75.237,32
420990301,1,"2005-05-22",40.457,-77.166,38.5
421010004,1,"2005-05-22",40.009,-75.098,23.75
421010014,1,"2005-05-22",40.05,-75.241,34.13
421010024,1,"2005-05-22",40.076,-75.012,36.25
421010136,1,"2005-05-22",39.928,-75.223,30.75
421174000,1,"2005-05-22",41.645,-76.939,32.5
421250005,1,"2005-05-22",40.147,-79.902,52
421250200,1,"2005-05-22",40.171,-80.261,49
421255001,1,"2005-05-22",40.445,-80.421,54.38
421290006,1,"2005-05-22",40.428,-79.693,48.88
421290008,1,"2005-05-22",40.305,-79.506,50.63
421330008,1,"2005-05-22",39.965,-76.699,42.5
440030002,1,"2005-05-22",41.615,-71.72,32.25
440071010,1,"2005-05-22",41.84,-71.362,30
440090007,1,"2005-05-22",41.492,-71.428,35.25
450030003,2,"2005-05-22",33.344,-81.789,51.63
450070003,1,"2005-05-22",34.777,-82.49,46.38
450110001,2,"2005-05-22",33.322,-81.466,50.5
450150002,1,"2005-05-22",32.989,-79.937,58.25
450190046,1,"2005-05-22",32.943,-79.657,62.12
450210002,1,"2005-05-22",35.132,-81.817,57.63
450230002,1,"2005-05-22",34.795,-81.204,47.75
450250001,1,"2005-05-22",34.617,-80.199,47.13
450290002,2,"2005-05-22",33.01,-80.965,50.25
450310003,1,"2005-05-22",34.287,-79.745,58.5
450370001,1,"2005-05-22",33.742,-81.854,48
450730001,1,"2005-05-22",34.807,-83.238,48.5
450770002,1,"2005-05-22",34.655,-82.839,50.25
450790007,1,"2005-05-22",34.096,-80.962,54.5
450790021,1,"2005-05-22",33.817,-80.781,48.38
450791001,1,"2005-05-22",34.133,-80.868,55.38
450830009,1,"2005-05-22",34.991,-82.076,48.88
450870001,1,"2005-05-22",34.541,-81.56,48.38
450890001,2,"2005-05-22",33.726,-79.565,50.38
460990007,3,"2005-05-22",43.538,-96.682,50.75
470010101,1,"2005-05-22",35.965,-84.223,54.88
470090101,1,"2005-05-22",35.631,-83.944,56.75
470090102,1,"2005-05-22",35.603,-83.784,49.38
470370011,1,"2005-05-22",36.205,-86.745,53.75
470370026,1,"2005-05-22",36.151,-86.621,55.38
470651011,1,"2005-05-22",35.234,-85.182,53.13
470654003,1,"2005-05-22",35.103,-85.162,56.25
470890002,1,"2005-05-22",36.114,-83.601,65.5
470931020,1,"2005-05-22",36.019,-83.874,60.13
471050108,1,"2005-05-22",35.745,-84.317,52.25
471210104,1,"2005-05-22",35.289,-84.946,58
471490101,1,"2005-05-22",35.733,-86.599,54.25
471550101,1,"2005-05-22",35.697,-83.61,49.13
471550102,1,"2005-05-22",35.563,-83.498,54
471570021,1,"2005-05-22",35.217,-90.019,66
471571004,1,"2005-05-22",35.377,-89.832,73.75
471572005,1,"2005-05-22",35.188,-89.642,78.25
471632002,1,"2005-05-22",36.541,-82.426,63.37
471632003,1,"2005-05-22",36.582,-82.486,60.87
471650007,1,"2005-05-22",36.298,-86.653,59.38
471650101,1,"2005-05-22",36.454,-86.564,55.13
471870106,1,"2005-05-22",35.952,-87.137,56.38
471890103,1,"2005-05-22",36.06,-86.286,54.38
480290032,2,"2005-05-22",29.515,-98.62,60.63
480290052,1,"2005-05-22",29.632,-98.565,70
480290059,1,"2005-05-22",29.275,-98.312,53.63
480391004,1,"2005-05-22",29.52,-95.393,53.63
480391016,1,"2005-05-22",29.044,-95.473,35.25
480610006,1,"2005-05-22",25.893,-97.494,27.25
480850005,1,"2005-05-22",33.132,-96.786,95.88
481130069,3,"2005-05-22",32.82,-96.86,82
481130075,1,"2005-05-22",32.919,-96.808,89.25
481130087,1,"2005-05-22",32.677,-96.872,73.63
481133003,1,"2005-05-22",32.78,-96.53,76.75
481210034,1,"2005-05-22",33.192,-97.193,77.25
481390015,1,"2005-05-22",32.437,-97.025,66.63
481670014,1,"2005-05-22",29.263,-94.856,33.88
481830001,2,"2005-05-22",32.382,-94.713,94.13
482010024,2,"2005-05-22",29.901,-95.327,75
482010026,3,"2005-05-22",29.802,-95.126,77
482010029,2,"2005-05-22",30.039,-95.675,58.62
482010046,1,"2005-05-22",29.827,-95.284,61.38
482010047,2,"2005-05-22",29.835,-95.489,55
482010051,2,"2005-05-22",29.624,-95.474,56.75
482010055,1,"2005-05-22",29.695,-95.494,65.5
482010062,1,"2005-05-22",29.626,-95.268,57
482010066,1,"2005-05-22",29.725,-95.504,56.87
482010070,1,"2005-05-22",29.733,-95.317,70.63
482010075,1,"2005-05-22",29.753,-95.35,67
482011015,1,"2005-05-22",29.764,-95.078,79.13
482011034,2,"2005-05-22",29.768,-95.221,68.25
482011035,3,"2005-05-22",29.733,-95.257,61.5
482011039,1,"2005-05-22",29.669,-95.128,62.13
482011050,1,"2005-05-22",29.583,-95.016,64.25
482030002,1,"2005-05-22",32.671,-94.168,68.12
482090614,1,"2005-05-22",30.215,-98.083,60.63
482150042,1,"2005-05-22",26.31,-98.183,33.25
482150043,1,"2005-05-22",26.226,-98.291,35.5
482210001,1,"2005-05-22",32.44,-97.804,60
482311006,1,"2005-05-22",33.153,-96.116,76.75
482450009,2,"2005-05-22",30.039,-94.075,84.63
482450011,1,"2005-05-22",29.894,-93.988,92.63
482450018,1,"2005-05-22",29.944,-94.003,98.5
482450022,1,"2005-05-22",29.864,-94.318,70.13
482450101,1,"2005-05-22",29.718,-93.897,73.87
482450628,1,"2005-05-22",29.865,-93.955,79.25
482510003,1,"2005-05-22",32.36,-97.432,64.75
482570005,1,"2005-05-22",32.569,-96.316,65.5
483390078,1,"2005-05-22",30.35,-95.425,61.5
483550025,2,"2005-05-22",27.765,-97.434,27.38
483550026,1,"2005-05-22",27.833,-97.555,31.62
483611001,2,"2005-05-22",30.084,-93.762,78.63
483611100,1,"2005-05-22",30.18,-93.873,72.75
483670081,1,"2005-05-22",32.869,-97.906,58.88
483970001,1,"2005-05-22",32.936,-96.459,77.63
484230007,1,"2005-05-22",32.344,-95.416,70.63
484390075,1,"2005-05-22",32.901,-97.461,65.13
484391002,2,"2005-05-22",32.805,-97.356,68.13
484392003,2,"2005-05-22",32.922,-97.282,72.12
484393009,1,"2005-05-22",32.984,-97.064,73.88
484393011,1,"2005-05-22",32.656,-97.089,58
484530014,2,"2005-05-22",30.354,-97.76,63.75
484530020,1,"2005-05-22",30.483,-97.872,61.5
484530613,1,"2005-05-22",30.419,-97.601,57
484690003,1,"2005-05-22",28.836,-97.006,44.38
484790016,1,"2005-05-22",27.511,-99.52,39.75
500030004,1,"2005-05-22",42.897,-73.251,19
500070007,1,"2005-05-22",44.528,-72.874,31.5
510130020,1,"2005-05-22",38.857,-77.059,48.63
510330001,1,"2005-05-22",38.203,-77.377,48.25
510360002,1,"2005-05-22",37.343,-77.26,55.13
510410004,1,"2005-05-22",37.359,-77.594,55.88
510590005,1,"2005-05-22",38.894,-77.465,50.88
510590018,1,"2005-05-22",38.743,-77.077,50.5
510590030,1,"2005-05-22",38.773,-77.106,51.5
510591005,1,"2005-05-22",38.838,-77.163,52.75
510595001,1,"2005-05-22",38.932,-77.199,53.13
510610002,1,"2005-05-22",38.475,-77.768,42.63
510690010,1,"2005-05-22",39.283,-78.081,43.25
510850003,1,"2005-05-22",37.606,-77.219,50.5
510870014,1,"2005-05-22",37.558,-77.4,52.63
511130003,1,"2005-05-22",38.522,-78.436,58.86
511390004,1,"2005-05-22",38.663,-78.505,47.88
511530009,1,"2005-05-22",38.855,-77.636,45
511611004,1,"2005-05-22",37.286,-79.884,59.13
511630003,1,"2005-05-22",37.626,-79.513,57.38
511790001,1,"2005-05-22",38.483,-77.37,48.88
511970002,1,"2005-05-22",36.893,-81.255,57.13
515100009,1,"2005-05-22",38.811,-77.045,45.37
516500004,2,"2005-05-22",37.003,-76.399,56.87
518000004,1,"2005-05-22",36.903,-76.439,57.38
518000005,1,"2005-05-22",36.667,-76.731,54.62
540030003,1,"2005-05-22",39.448,-77.964,46.5
540110006,1,"2005-05-22",38.425,-82.425,53
540250003,1,"2005-05-22",37.908,-80.633,61.88
540291004,1,"2005-05-22",40.422,-80.581,49.88
540390010,1,"2005-05-22",38.346,-81.628,54.63
540610003,1,"2005-05-22",39.649,-79.921,46.88
540690010,1,"2005-05-22",40.115,-80.701,49.13
541071002,1,"2005-05-22",39.324,-81.552,55.38
550030010,1,"2005-05-22",46.615,-90.699,41.5
550090026,1,"2005-05-22",44.53,-87.909,50.75
550210015,1,"2005-05-22",43.314,-89.109,49.5
550250041,1,"2005-05-22",43.101,-89.357,50.13
550270007,1,"2005-05-22",43.435,-88.528,52
550290004,1,"2005-05-22",45.238,-86.994,61.5
550390006,1,"2005-05-22",43.688,-88.422,51.38
550550002,1,"2005-05-22",43.001,-88.812,50.88
550590019,1,"2005-05-22",42.505,-87.811,56.38
550610002,1,"2005-05-22",44.443,-87.506,50.38
550710007,1,"2005-05-22",44.139,-87.616,51.88
550730012,1,"2005-05-22",44.707,-89.77,46.75
550790010,1,"2005-05-22",43.017,-87.933,47.38
550790026,1,"2005-05-22",43.061,-87.912,50.63
550790041,1,"2005-05-22",43.075,-87.884,52.25
550790044,1,"2005-05-22",43.093,-88.006,52.5
550790085,1,"2005-05-22",43.181,-87.901,52.13
550850004,1,"2005-05-22",45.678,-89.632,49.63
550870009,1,"2005-05-22",44.307,-88.396,49.5
550890008,1,"2005-05-22",43.343,-87.921,50.25
550890009,1,"2005-05-22",43.498,-87.81,48.25
551010017,1,"2005-05-22",42.714,-87.799,52.13
551050024,1,"2005-05-22",42.529,-89.015,49.13
551091002,1,"2005-05-22",45.124,-92.662,47.88
551110007,1,"2005-05-22",43.436,-89.68,51.63
551170006,1,"2005-05-22",43.667,-87.716,53.38
551230008,1,"2005-05-22",43.702,-90.568,52
551250001,1,"2005-05-22",46.048,-89.654,50.5
551270005,1,"2005-05-22",42.58,-88.499,54.38
551310009,1,"2005-05-22",43.327,-88.22,49.63
551330017,1,"2005-05-22",43.004,-88.232,53.25
551330027,1,"2005-05-22",43.02,-88.215,52.13
